"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.Lumbar","branch","","","","","","Switches for SingleSeat.Backrest.Lumbar.","","","","11adccdb44b15e26b22252dd75810422"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.Lumbar.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","703ec67285de5b3799ebd2e4f090e2eb"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.Lumbar.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","03390dc0feb256f4977f5aadcdef1663"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.Lumbar.IsUpEngaged","actuator","boolean","","","","","Lumbar up switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","24535eb7418f5bd4ac16900ea925c3ee"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.Lumbar.IsDownEngaged","actuator","boolean","","","","","Lumbar down switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","fbb8355fefd151b58936c7adbde8edd2"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.SideBolster","branch","","","","","","Switches for SingleSeat.Backrest.SideBolster.","","","","0618172eae735abdb3c40ed24481cb68"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.SideBolster.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","dfcaac526f3952e0aa29caacf9cd796e"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Backrest.SideBolster.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","c67fc3cb95bf54ef988ec24b76db4221"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Seating","branch","","","","","","Describes switches related to the seating of the seat.","","","","473086da2fc4501f9b3bdbc94133eb92"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Seating.IsForwardEngaged","actuator","boolean","","","","","Is switch to increase seating length engaged (SingleSeat.Seating.Length).","","","","45ef8de577b55ff9b621aad08238edaf"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Seating.IsBackwardEngaged","actuator","boolean","","","","","Is switch to decrease seating length engaged (SingleSeat.Seating.Length).","","","","fb25e00b59f1513eb66355fd254e3bbe"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Headrest","branch","","","","","","Switches for SingleSeat.Headrest.","","","","84788fd7b9215fa78374c9ca196e5d2d"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Headrest.IsUpEngaged","actuator","boolean","","","","","Head rest up switch engaged (SingleSeat.Headrest.Height).","","","","2078f41ff0505639aab472a9793e0767"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Headrest.IsDownEngaged","actuator","boolean","","","","","Head rest down switch engaged (SingleSeat.Headrest.Height).","","","","e993d306024f5d5d8f1ffe8897d76a38"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Headrest.IsForwardEngaged","actuator","boolean","","","","","Head rest forward switch engaged (SingleSeat.Headrest.Angle).","","","","bbeb896cdb5059ea83add870abb45c69"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Headrest.IsBackwardEngaged","actuator","boolean","","","","","Head rest backward switch engaged (SingleSeat.Headrest.Angle).","","","","aec4843ad9435b9785f0d2485d457c56"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Massage","branch","","","","","","Switches for SingleSeat.Massage.","","","","dc5720a01af45e78a562d12a93db0fbd"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Massage.IsIncreaseEngaged","actuator","boolean","","","","","Increase massage level switch engaged (SingleSeat.Massage).","","","","9c2cd2dab1d65532b6b738966db8af41"
"Vehicle.Cabin.Seat.Row2.Middle.Switch.Massage.IsDecreaseEngaged","actuator","boolean","","","","","Decrease massage level switch engaged (SingleSeat.Massage).","","","","07e2a1c17a1854abb180fdf2038ece03"
"Vehicle.Cabin.Seat.Row2.PassengerSide","branch","","","","","","All seats.","","","","8cd32cb3e2d157b39af57d9cfe2e128c"
"Vehicle.Cabin.Seat.Row2.PassengerSide.IsOccupied","sensor","boolean","","","","","Does the seat have a passenger in it.","","","","516d511279a75513a53ca57adade3a99"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Occupant","branch","","","","","","Occupant data.","","","","0cd5c8c3bd3f55ee8cc4c876cad0b75f"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Occupant.Identifier","branch","","","","","","Identifier attributes based on OAuth 2.0.","","","","d18aded275a454068904eb5371a69f4d"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Occupant.Identifier.Subject","sensor","string","","","","","Subject for the authentication of the occupant e.g. UserID 7331677.","","","","9fc55976f51c552fac70632a7e61b1f4"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Occupant.Identifier.Issuer","sensor","string","","","","","Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.","","","","3acca59e11b95e92945ac8ea568a3213"
"Vehicle.Cabin.Seat.Row2.PassengerSide.IsBelted","sensor","boolean","","","","","Is the belt engaged.","","","","c7d63d6c97845df5b602791f700968f7"
"Vehicle.Cabin.Seat.Row2.PassengerSide.SeatBeltHeight","actuator","uint16","","mm","","","Seat belt position on vehicle z-axis. Position is relative within available movable range of the seat belt. 0 = Lowermost position supported.","","","","9648e0ea501b583a86d211d09a953b14"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Heating","actuator","int8","v4.1 replaced with HeatingCooling","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat.","","","","4c0ab40eaf745f12a09dc2c5acbedae9"
"Vehicle.Cabin.Seat.Row2.PassengerSide.HeatingCooling","actuator","int8","","percent","-100","100","Heating or Cooling requsted for the Item. -100 = Maximum cooling, 0 = Heating/cooling deactivated, 100 = Maximum heating.","","","","61dbad56f18e5ecba04d189ebd943770"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Massage","actuator","uint8","","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","","bd9ec382d92e52ae826cb532ba13e11f"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Position","actuator","uint16","","mm","0","","Seat position on vehicle x-axis. Position is relative to the frontmost position supported by the seat. 0 = Frontmost position supported.","","","","07a8fe28cc1850dc96458e827a9ebeb5"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Height","actuator","uint16","","mm","0","","Seat position on vehicle z-axis. Position is relative within available movable range of the seating. 0 = Lowermost position supported.","","","","b1ca33bf7f4455ada6be941b92b824da"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Tilt","actuator","float","","degrees","","","Tilting of seat (seating and backrest) relative to vehicle x-axis. 0 = seat bottom is flat, seat bottom and vehicle x-axis are parallel. Positive degrees = seat tilted backwards, seat x-axis tilted upward, seat z-axis is tilted backward.","In VSS it is assumed that tilting a seat affects both seating (seat bottom) and backrest, i.e. the angle between seating and backrest will not be affected when changing Tilt.","","","646c179da57a59c39ca9777a4808980b"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest","branch","","","","","","Describes signals related to the backrest of the seat.","","","","ea5285b1124c527681e1a45c51429bdb"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.Recline","actuator","float","","degrees","","","Backrest recline compared to seat z-axis (seat vertical axis). 0 degrees = Upright/Vertical backrest. Negative degrees for forward recline. Positive degrees for backward recline.","Seat z-axis depends on seat tilt. This means that movement of backrest due to seat tilting will not affect Backrest.Recline as long as the angle between Seating and Backrest are constant. Absolute recline relative to vehicle z-axis can be calculated as Tilt + Backrest.Recline.","","","6e3669fe31425539a49a2235c11bd5b5"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.Lumbar","branch","","","","","","Adjustable lumbar support mechanisms in seats allow the user to change the seat back shape.","","","","4eb3938a709f5e4dbdefeada15a4ddb9"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.Lumbar.Support","actuator","float","","percent","0","100","Lumbar support (in/out position). 0 = Innermost position. 100 = Outermost position.","","","","b29e1fd9898e5981807d74caa94dd16a"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.Lumbar.Height","actuator","uint8","","mm","0","","Height of lumbar support. Position is relative within available movable range of the lumbar support. 0 = Lowermost position supported.","","","","a8bcc5c7172e545db2b7d56611d5ab6a"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.SideBolster","branch","","","","","","Backrest side bolster (lumbar side support) settings.","","","","7e9c0a02e46b57879a2e3a0e66f02137"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Backrest.SideBolster.Support","actuator","float","","percent","0","100","Side bolster support. 0 = Minimum support (widest side bolster setting). 100 = Maximum support.","","","","a97af5b193b1521e90eb0fd33472ab38"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Seating","branch","","","","","","Describes signals related to the seat bottom of the seat.","Seating is here considered as the part of the seat that supports the thighs. Additional cushions (if any) for support of lower legs is not covered by this branch.","","","ef3307b33fae500b837da872d2fad454"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Seating.Length","actuator","uint16","","mm","0","","Length adjustment of seating. 0 = Adjustable part of seating in rearmost position (Shortest length of seating).","","","","68e28b1aadcf5c3db177943af27a9098"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Headrest","branch","","","","","","Headrest settings.","","","","a5449c4df2955aac981992fcbb581b84"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Headrest.Height","actuator","uint8","","mm","0","","Position of headrest relative to movable range of the head rest. 0 = Bottommost position supported.","","","","a82bd9a0a9745ef68dae31474a095294"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Headrest.Angle","actuator","float","","degrees","","","Headrest angle, relative to backrest, 0 degrees if parallel to backrest, Positive degrees = tilted forward.","","","","13f6bb21aa64545c97257c2b614622cb"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Airbag","branch","","","","","","Airbag signals.","","","","d16d61dc474f514fb10d1c8ecbeb9179"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Airbag.IsDeployed","sensor","boolean","","","","","Airbag deployment status. True = Airbag deployed. False = Airbag not deployed.","","","","a73fecde42375d07834a6670209228f4"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch","branch","","","","","","Seat switch signals","","","","dc15316849e75f6d9995d428eee65421"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsWarmerEngaged","actuator","boolean","","","","","Warmer switch for Seat heater (SingleSeat.Heating).","","","","a6ae083174c65a9599901c00819694f8"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsCoolerEngaged","actuator","boolean","","","","","Cooler switch for Seat heater (SingleSeat.Heating).","","","","119275e2b8b9579fbaf45f419f01879b"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsForwardEngaged","actuator","boolean","","","","","Seat forward switch engaged (SingleSeat.Position).","","","","6c4cb5e0ab59597db55b22918510c1a1"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsBackwardEngaged","actuator","boolean","","","","","Seat backward switch engaged (SingleSeat.Position).","","","","cefaab13d761577f86c35403460a83de"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsUpEngaged","actuator","boolean","","","","","Seat up switch engaged (SingleSeat.Height).","","","","0f1060fee7e05b2b91cc51d5a9b3da74"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsDownEngaged","actuator","boolean","","","","","Seat down switch engaged (SingleSeat.Height).","","","","00793becfbf35a1f9e22e62c0ee23382"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsTiltForwardEngaged","actuator","boolean","","","","","Tilt forward switch engaged (SingleSeat.Tilt).","","","","b601c11e3b525dd19933adaf807bc5c1"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.IsTiltBackwardEngaged","actuator","boolean","","","","","Tilt backward switch engaged (SingleSeat.Tilt).","","","","d6a316b6a3455e9da8769144aece2a74"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest","branch","","","","","","Describes switches related to the backrest of the seat.","","","","9417cfbf4a08528f9a6bb6de95dd53a3"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.IsReclineForwardEngaged","actuator","boolean","","","","","Backrest recline forward switch engaged (SingleSeat.Backrest.Recline).","","","","9fca194c445257049d2ba0bc5d134e12"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.IsReclineBackwardEngaged","actuator","boolean","","","","","Backrest recline backward switch engaged (SingleSeat.Backrest.Recline).","","","","e9591a8c0ef551dd8d2da760bf96045a"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.Lumbar","branch","","","","","","Switches for SingleSeat.Backrest.Lumbar.","","","","ee7310791c475bcb946bd7074fb375af"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.Lumbar.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","bc763cfcd7fd511cbdc8ae2cc64a0ac7"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.Lumbar.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","54dd7359d76f5caeb221807f3c9f05d6"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.Lumbar.IsUpEngaged","actuator","boolean","","","","","Lumbar up switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","8bc621f1041052c7abf17124cb6dc270"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.Lumbar.IsDownEngaged","actuator","boolean","","","","","Lumbar down switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","32defc92edd159bc96939d399202d4ca"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.SideBolster","branch","","","","","","Switches for SingleSeat.Backrest.SideBolster.","","","","a69bfc99fd21564b9d6e06504063f3f0"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.SideBolster.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","cd893883ea4857b8a42e02dccd7c48d6"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Backrest.SideBolster.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","ccdd90ab2f3152be80c64b4500c78a8b"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Seating","branch","","","","","","Describes switches related to the seating of the seat.","","","","0b6331463cf65b44a5709705a1e55d7c"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Seating.IsForwardEngaged","actuator","boolean","","","","","Is switch to increase seating length engaged (SingleSeat.Seating.Length).","","","","ef90f29f5ab65b0cbf271a7e06fa848d"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Seating.IsBackwardEngaged","actuator","boolean","","","","","Is switch to decrease seating length engaged (SingleSeat.Seating.Length).","","","","ed70ebf0a7065894af1ac26e409d2408"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Headrest","branch","","","","","","Switches for SingleSeat.Headrest.","","","","0db2d43128845f65a029915777d30ac9"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Headrest.IsUpEngaged","actuator","boolean","","","","","Head rest up switch engaged (SingleSeat.Headrest.Height).","","","","b77c09fbcec95c5fb04a6d14af5b9f94"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Headrest.IsDownEngaged","actuator","boolean","","","","","Head rest down switch engaged (SingleSeat.Headrest.Height).","","","","263c5edb7c7c515581a853327df34215"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Headrest.IsForwardEngaged","actuator","boolean","","","","","Head rest forward switch engaged (SingleSeat.Headrest.Angle).","","","","d86793d827f6545e97e03d1b8363236d"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Headrest.IsBackwardEngaged","actuator","boolean","","","","","Head rest backward switch engaged (SingleSeat.Headrest.Angle).","","","","0f6c3fada9695cfc89309bca1941d0f5"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Massage","branch","","","","","","Switches for SingleSeat.Massage.","","","","bd644892090f5bd9a4b89281331cbe4d"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Massage.IsIncreaseEngaged","actuator","boolean","","","","","Increase massage level switch engaged (SingleSeat.Massage).","","","","ac7635aa2fc7578aae97d8a253e9a303"
"Vehicle.Cabin.Seat.Row2.PassengerSide.Switch.Massage.IsDecreaseEngaged","actuator","boolean","","","","","Decrease massage level switch engaged (SingleSeat.Massage).","","","","399c59f3d97151499a9005b329368baf"
"Vehicle.Cabin.DriverPosition","attribute","string","","","","","The position of the driver seat in row 1.","Some signals use DriverSide and PassengerSide as instances. If this signal specifies that DriverPosition is LEFT or MIDDLE, then DriverSide refers to left side and PassengerSide to right side. If this signal specifies that DriverPosition is RIGHT, then DriverSide refers to right side and PassengerSide to left side.","['LEFT', 'MIDDLE', 'RIGHT']","","bca9ccd50358584d8d20865694b0d15f"
"Vehicle.Cabin.SeatRowCount","attribute","uint8","","","","","Number of seat rows in vehicle.","Default value corresponds to two rows of seats.","","2","1002a7a4a954581b9cbc72fa438c5292"
"Vehicle.Cabin.SeatPosCount","attribute","uint8[]","","","","","Number of seats across each row from the front to the rear.","Default value corresponds to two seats in front row and 3 seats in second row.","","[2, 3]","8dd40ecd47ab51c79ed9c74ae4296d7e"
"Vehicle.Cabin.Convertible","branch","","","","","","Convertible roof.","","","","2aece85d39d6569e93cf842387a645d9"
"Vehicle.Cabin.Convertible.Status","sensor","string","","","","","Roof status on convertible vehicles.","","['UNDEFINED', 'CLOSED', 'OPEN', 'CLOSING', 'OPENING', 'STALLED']","","c8812698198a56d7a1adcc8bbe87845f"
"Vehicle.Cabin.PowerOptimizeLevel","actuator","uint8","","","0","10","Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.","","","","728b62b170055bd8b1530ec423dd5a9a"
"Vehicle.Cabin.IsAutoPowerOptimize","actuator","boolean","","","","","Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.","","","","b1fa47b39a275bea8606460005de2b33"
"Vehicle.ADAS","branch","","","","","","All Advanced Driver Assist Systems data.","","","","14c2b2e1297b513197d320a5ce58f42e"
"Vehicle.ADAS.ActiveAutonomyLevel","sensor","string","","","","","Indicates the currently active level of autonomy according to SAE J3016 taxonomy.","Follows https://www.sae.org/news/2019/01/sae-updates-j3016-automated-driving-graphic taxonomy. For SAE levels 3 and 4 the system is required to alert the driver before it will disengage. Level 4 systems are required to reach a safe state even if a driver does not take over. Only level 5 systems are required to not rely on a driver at all. While level 2 systems require the driver to be monitoring the system at all times, many level 2 systems, often termed ""level 2.5"" systems, do warn the driver shortly before reaching their operational limits, therefore we also support the DISENGAGING state for SAE_2.","['SAE_0', 'SAE_1', 'SAE_2_DISENGAGING', 'SAE_2', 'SAE_3_DISENGAGING', 'SAE_3', 'SAE_4_DISENGAGING', 'SAE_4', 'SAE_5']","","b101c6928fc55948b1cc485e568ecd8d"
"Vehicle.ADAS.SupportedAutonomyLevel","attribute","string","","","","","Indicates the highest level of autonomy according to SAE J3016 taxonomy the vehicle is capable of.","","['SAE_0', 'SAE_1', 'SAE_2', 'SAE_3', 'SAE_4', 'SAE_5']","","020410189ab4517cb85ceda268b40f51"
"Vehicle.ADAS.CruiseControl","branch","","","","","","Signals from Cruise Control system.","","","","c4d751cf74f9576dbba3cc820991c1fb"
"Vehicle.ADAS.CruiseControl.IsEnabled","actuator","boolean","","","","","Indicates if cruise control system is enabled (e.g. ready to receive configurations and settings) True = Enabled. False = Disabled.","","","","018417f6c8535315895d0f54d209035a"
"Vehicle.ADAS.CruiseControl.IsActive","actuator","boolean","","","","","Indicates if cruise control system is active (i.e. actively controls speed). True = Active. False = Inactive.","","","","78ab5ce923dc5aa1a6622bcb948e1561"
"Vehicle.ADAS.CruiseControl.SpeedSet","actuator","float","","km/h","","","Set cruise control speed in kilometers per hour.","","","","b3f3a53ccd825e4da5cb1226f94dc005"
"Vehicle.ADAS.CruiseControl.IsError","sensor","boolean","","","","","Indicates if cruise control system incurred an error condition. True = Error. False = No Error.","","","","22923d4a36bc5192a08e40fe9e5ed458"
"Vehicle.ADAS.LaneDepartureDetection","branch","","","","","","Signals from Lane Departure Detection System.","","","","e45f33fdcf245f11981b2f201ee8281a"
"Vehicle.ADAS.LaneDepartureDetection.IsEnabled","actuator","boolean","","","","","Indicates if lane departure detection system is enabled. True = Enabled. False = Disabled.","","","","c099ae97260f5c418977cd14631e95be"
"Vehicle.ADAS.LaneDepartureDetection.IsWarning","sensor","boolean","","","","","Indicates if lane departure detection registered a lane departure.","","","","c32fcd1d56035cb08acfd380be224c6a"
"Vehicle.ADAS.LaneDepartureDetection.IsError","sensor","boolean","","","","","Indicates if lane departure system incurred an error condition. True = Error. False = No Error.","","","","73b2fc4f6a4952e4b7886671450e7798"
"Vehicle.ADAS.ObstacleDetection","branch","","","","","","Signals form Obstacle Sensor System.","","","","e7b6d81631cc5ac584d027d4c1a66cb5"
"Vehicle.ADAS.ObstacleDetection.IsEnabled","actuator","boolean","","","","","Indicates if obstacle sensor system is enabled (i.e. monitoring for obstacles). True = Enabled. False = Disabled.","","","","cc0cd497285e5034a1cccb25f02e9db9"
"Vehicle.ADAS.ObstacleDetection.IsWarning","sensor","boolean","","","","","Indicates if obstacle sensor system registered an obstacle.","","","","b0b1eab51f135ffcb2a17a7603415fec"
"Vehicle.ADAS.ObstacleDetection.IsError","sensor","boolean","","","","","Indicates if obstacle sensor system incurred an error condition. True = Error. False = No Error.","","","","368b74e2468d5217925a478ed6e34f9f"
"Vehicle.ADAS.ABS","branch","","","","","","Antilock Braking System signals.","","","","219270ef27c4531f874bbda63743b330"
"Vehicle.ADAS.ABS.IsEnabled","actuator","boolean","","","","","Indicates if ABS is enabled. True = Enabled. False = Disabled.","","","","cad374fbfdc65df9b777508f04d5b073"
"Vehicle.ADAS.ABS.IsError","sensor","boolean","","","","","Indicates if ABS incurred an error condition. True = Error. False = No Error.","","","","13cfabb3122254128234f9a696f14678"
"Vehicle.ADAS.ABS.IsEngaged","sensor","boolean","","","","","Indicates if ABS is currently regulating brake pressure. True = Engaged. False = Not Engaged.","","","","6dd21979a2225e31940dc2ece1aa9a04"
"Vehicle.ADAS.TCS","branch","","","","","","Traction Control System signals.","","","","0572e9f6b1aa5fb5b2f68086aff05073"
"Vehicle.ADAS.TCS.IsEnabled","actuator","boolean","","","","","Indicates if TCS is enabled. True = Enabled. False = Disabled.","","","","1d2dda19b11758a19ba7c1d5cd2d7956"
"Vehicle.ADAS.TCS.IsError","sensor","boolean","","","","","Indicates if TCS incurred an error condition. True = Error. False = No Error.","","","","08f88723ba63558b8c804b8fe8e3f149"
"Vehicle.ADAS.TCS.IsEngaged","sensor","boolean","","","","","Indicates if TCS is currently regulating traction. True = Engaged. False = Not Engaged.","","","","b33d70009ad5589fbffe17fa7e827242"
"Vehicle.ADAS.ESC","branch","","","","","","Electronic Stability Control System signals.","","","","636b4586ce7854b4b270a2f3b6c0af4f"
"Vehicle.ADAS.ESC.IsEnabled","actuator","boolean","","","","","Indicates if ESC is enabled. True = Enabled. False = Disabled.","","","","3f4f39b8d8c05c97a6de685282ba74b7"
"Vehicle.ADAS.ESC.IsError","sensor","boolean","","","","","Indicates if ESC incurred an error condition. True = Error. False = No Error.","","","","6c237535654b5bc7a70f6a70c760b9d4"
"Vehicle.ADAS.ESC.IsEngaged","sensor","boolean","","","","","Indicates if ESC is currently regulating vehicle stability. True = Engaged. False = Not Engaged.","","","","2088953a28385353a9d46b3a3dc11cac"
"Vehicle.ADAS.ESC.IsStrongCrossWindDetected","sensor","boolean","","","","","Indicates if the ESC system is detecting strong cross winds. True = Strong cross winds detected. False = No strong cross winds detected.","","","","ebfd609531345c37914b89e553df80cb"
"Vehicle.ADAS.ESC.RoadFriction","branch","","","","","","Road friction values reported by the ESC system.","","","","71a32e4eb131532c82195508d93807ed"
"Vehicle.ADAS.ESC.RoadFriction.MostProbable","sensor","float","","percent","0","100","Most probable road friction, as calculated by the ESC system. Exact meaning of most probable is implementation specific. 0 = no friction, 100 = maximum friction.","","","","b0eb72430cd95bfbba0d187fcb6e2a62"
"Vehicle.ADAS.ESC.RoadFriction.LowerBound","sensor","float","","percent","0","100","Lower bound road friction, as calculated by the ESC system. 5% possibility that road friction is below this value. 0 = no friction, 100 = maximum friction.","","","","634289f58b5d511ea9979f04a9d0f2ab"
"Vehicle.ADAS.ESC.RoadFriction.UpperBound","sensor","float","","percent","0","100","Upper bound road friction, as calculated by the ESC system. 95% possibility that road friction is below this value. 0 = no friction, 100 = maximum friction.","","","","ad0415a799575fcd8d1f49bed9a2baeb"
"Vehicle.ADAS.EBD","branch","","","","","","Electronic Brakeforce Distribution (EBD) System signals.","","","","3f4c74a588735b10ac9fe918d305cd5a"
"Vehicle.ADAS.EBD.IsEnabled","actuator","boolean","","","","","Indicates if EBD is enabled. True = Enabled. False = Disabled.","","","","30f88d3e68575b67853b14ce5f7a08e5"
"Vehicle.ADAS.EBD.IsError","sensor","boolean","","","","","Indicates if EBD incurred an error condition. True = Error. False = No Error.","","","","918157073be95015ae38913cd7a9796a"
"Vehicle.ADAS.EBD.IsEngaged","sensor","boolean","","","","","Indicates if EBD is currently regulating vehicle brakeforce distribution. True = Engaged. False = Not Engaged.","","","","67aa2a598f635edda6eb944af99b06db"
"Vehicle.ADAS.EBA","branch","","","","","","Emergency Brake Assist (EBA) System signals.","","","","51ec0930d0af5b91b84a0775c6e87a97"
"Vehicle.ADAS.EBA.IsEnabled","actuator","boolean","","","","","Indicates if EBA is enabled. True = Enabled. False = Disabled.","","","","3ae9171b69555fb08855054ab38e9b17"
"Vehicle.ADAS.EBA.IsError","sensor","boolean","","","","","Indicates if EBA incurred an error condition. True = Error. False = No Error.","","","","bae0fe856398502ba4a09283867c6c81"
"Vehicle.ADAS.EBA.IsEngaged","sensor","boolean","","","","","Indicates if EBA is currently regulating brake pressure. True = Engaged. False = Not Engaged.","","","","86360c44ead354d18af7ff14176151f6"
"Vehicle.ADAS.DMS","branch","","","","","","Driver Monitoring System signals.","","","","1cd72c7fc7fe5269a93c9954f46a4f60"
"Vehicle.ADAS.DMS.IsEnabled","actuator","boolean","","","","","Indicates if DMS is enabled. True = Enabled. False = Disabled.","","","","63e6d3803ce35fd79afc728c65295804"
"Vehicle.ADAS.DMS.IsWarning","sensor","boolean","","","","","Indicates if DMS has registered a driver alert condition.","","","","2c86cd0363cd55ffb175a9e07cc32e4d"
"Vehicle.ADAS.DMS.IsError","sensor","boolean","","","","","Indicates if DMS incurred an error condition. True = Error. False = No Error.","","","","d5213c8cb5d5575994b2c8ee1ad8eccf"
"Vehicle.ADAS.PowerOptimizeLevel","actuator","uint8","","","0","10","Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.","","","","044ad42893e65993bfc439455fb08faa"
