"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Body.Lights.Running.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","1c4e44f1e0275965b466ac674a5b8cac"
"Vehicle.Body.Lights.Running.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","7cda127e6d45547681757e789c0b7a87"
"Vehicle.Body.Lights.Backup","branch","","","","","","Backup lights.","","","","4fe2cb68fc77506686eced7225aeff9a"
"Vehicle.Body.Lights.Backup.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","ef23a3fa6106564195a66e21d8cf69b4"
"Vehicle.Body.Lights.Backup.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","b907c4ac4ee459faa987c64a6da424c3"
"Vehicle.Body.Lights.Parking","branch","","","","","","Parking lights.","","","","dfb819be5cec5be09b9fb743829301c3"
"Vehicle.Body.Lights.Parking.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","6ba0825427335408ad7d0f148d6250ea"
"Vehicle.Body.Lights.Parking.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","56761305eae559c7931f6ff5fee0dfa8"
"Vehicle.Body.Lights.Fog","branch","","","","","","Fog lights.","","","","1e90cf42bb825217b283c7285a606953"
"Vehicle.Body.Lights.Fog.Rear","branch","","","","","","Fog lights.","","","","38359f258135516cb49c0fa1f093d478"
"Vehicle.Body.Lights.Fog.Rear.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","1fe08a2f687c5c2880adef26cc7de746"
"Vehicle.Body.Lights.Fog.Rear.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","1d44e594ffa35d73a6f620f479eeef4c"
"Vehicle.Body.Lights.Fog.Front","branch","","","","","","Fog lights.","","","","230cc65abaaf500c9085c29d48107552"
"Vehicle.Body.Lights.Fog.Front.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","0ec10846d20a5d1b9b8a286303ecb844"
"Vehicle.Body.Lights.Fog.Front.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","f9238f15d2615a22802ce9ec9f1d72e9"
"Vehicle.Body.Lights.LicensePlate","branch","","","","","","License plate lights.","","","","7bb12e42a8c45c198f83bf41b19131fa"
"Vehicle.Body.Lights.LicensePlate.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","afeace5d76ed53f989ae4251090ba069"
"Vehicle.Body.Lights.LicensePlate.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","4de6594de7815cec97e5b851d70e239b"
"Vehicle.Body.Lights.Brake","branch","","","","","","Brake lights.","","","","30eabe704102501cb299d03696fad92a"
"Vehicle.Body.Lights.Brake.IsActive","actuator","string","","","","","Indicates if break-light is active. INACTIVE means lights are off. ACTIVE means lights are on. ADAPTIVE means that break-light is indicating emergency-breaking.","","['INACTIVE', 'ACTIVE', 'ADAPTIVE']","","65eb84d61ea95313985054f626b85b59"
"Vehicle.Body.Lights.Brake.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","1db542c5ba715e09b948527418966728"
"Vehicle.Body.Lights.Hazard","branch","","","","","","Hazard lights.","","","","803498c3be6253dfb074c0e0294be758"
"Vehicle.Body.Lights.Hazard.IsSignaling","actuator","boolean","","","","","Indicates if light is signaling or off. True = signaling. False = Off.","","","","c53950205aa15dffa304390dcb761cc3"
"Vehicle.Body.Lights.Hazard.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","25cd3475beb6543a8538974b67544c43"
"Vehicle.Body.Lights.DirectionIndicator","branch","","","","","","Indicator lights.","","","","0566cb97d05c554eb88a07142f2475ac"
"Vehicle.Body.Lights.DirectionIndicator.Left","branch","","","","","","Indicator lights.","","","","446dea42b8e95d87b45e5e51c881bf98"
"Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling","actuator","boolean","","","","","Indicates if light is signaling or off. True = signaling. False = Off.","","","","33ac6ec5e4d9550aac6ae0ce97dae259"
"Vehicle.Body.Lights.DirectionIndicator.Left.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","32a092936fb65165ba1dd8dfa38bf77d"
"Vehicle.Body.Lights.DirectionIndicator.Right","branch","","","","","","Indicator lights.","","","","9922f6b417e95f1c945ef9f414bcdf78"
"Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling","actuator","boolean","","","","","Indicates if light is signaling or off. True = signaling. False = Off.","","","","9b0a1dab153f5dcda8df2116c3b6d487"
"Vehicle.Body.Lights.DirectionIndicator.Right.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","db70c2d885725583a7ed95b215a8ec6c"
"Vehicle.Body.Mirrors","branch","","","","","","All mirrors.","","","","a4ea618914885a239ef5fa62c671a800"
"Vehicle.Body.Mirrors.DriverSide","branch","","","","","","All mirrors.","","","","3c62705bbcf654489c8179b63118829f"
"Vehicle.Body.Mirrors.DriverSide.Tilt","actuator","int8","","percent","-100","100","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","","eafa81963c315aa78eda11eec8012d34"
"Vehicle.Body.Mirrors.DriverSide.Pan","actuator","int8","","percent","-100","100","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","","4749ae14c526547c9b511f66a67b3d27"
"Vehicle.Body.Mirrors.DriverSide.IsHeatingOn","actuator","boolean","","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","","21262ce775a85abe9f6354f9c3ac9988"
